compound_0,compound_0_role,compound_0_amount,compound_0_amount_grams,compound_1,compound_1_role,compound_1_amount,compound_1_amount_grams,compound_2,compound_2_role,compound_2_amount,compound_2_amount_grams,compound_3,compound_3_role,compound_3_amount,compound_3_amount_grams,compound_4,compound_4_role,compound_4_amount,compound_4_amount_grams,id,notes,labGroup,dirty,calculating,recalculate,reaction_ptr,user,performedBy,performedDateTime,insertedDateTime,recommendation,legacyRecommendedFlag,valid,public,duplicateOf,legacyID,legacyRef,convertedLegacyRef,reference,labBookPage
Ammonium metavanadate,Inorg,0.97711,0.11430,2-Methylpiperazine,Org,1.30085,0.13030,Selenious acid,Inorg,10.07210,1.29904,Water,Solv,336.58618,6.06370,?,?,?,?,27025,,Norquist Oxide Lab,False,False,False,Reaction_27025,amilder,,,2016-05-02 20:53:41,,False,True,True,,16,jho213.6,jho213.6,jho213.6,
Ammonium metavanadate,Inorg,1.02583,0.12000,"2,5-Dimethylpiperazine",Org,1.11129,0.12690,Selenious acid,Inorg,8.15620,1.05194,Water,Solv,334.86539,6.03270,?,?,?,?,27026,,Norquist Oxide Lab,False,False,False,Reaction_27026,amilder,,,2016-05-02 20:53:41,,False,True,True,,17,jho213.7,jho213.7,jho213.7,
Ammonium metavanadate,Inorg,0.96001,0.11230,"2,5-Dimethylpiperazine",Org,1.07713,0.12300,Selenious acid,Inorg,9.95040,1.28334,Water,Solv,333.64974,6.01080,?,?,?,?,27027,,Norquist Oxide Lab,False,False,False,Reaction_27027,amilder,,,2016-05-02 20:53:41,,False,True,True,,18,jho213.8,jho213.8,jho213.8,
Ammonium metavanadate,Inorg,0.98395,0.11510,"2,6-Dimethylpiperazin",Org,1.13405,0.12950,Selenious acid,Inorg,8.23600,1.06223,Water,Solv,342.09825,6.16300,?,?,?,?,27028,,Norquist Oxide Lab,False,False,False,Reaction_27028,amilder,,,2016-05-02 20:53:41,,False,True,True,,19,jho213.9,jho213.9,jho213.9,
Ammonium metavanadate,Inorg,0.97711,0.11430,"2,6-Dimethylpiperazin",Org,1.02809,0.11740,Selenious acid,Inorg,10.04650,1.29574,Water,Solv,337.62420,6.08240,?,?,?,?,27029,,Norquist Oxide Lab,False,False,False,Reaction_27029,amilder,,,2016-05-02 20:53:41,,False,True,True,,20,jho213.10,jho213.10,jho213.10,
Ammonium metavanadate,Inorg,1.02754,0.12020,methylpiperazine,Org,1.13213,0.11340,Selenious acid,Inorg,8.00650,1.03263,Water,Solv,334.82098,6.03190,?,?,?,?,27030,,Norquist Oxide Lab,False,False,False,Reaction_27030,amilder,,,2016-05-02 20:53:41,,False,True,True,,21,jho213.11,jho213.11,jho213.11,
Ammonium metavanadate,Inorg,0.99078,0.11590,methylpiperazine,Org,1.15110,0.11530,Selenious acid,Inorg,10.11090,1.30404,Water,Solv,336.31418,6.05880,?,?,?,?,27031,,Norquist Oxide Lab,False,False,False,Reaction_27031,amilder,,,2016-05-02 20:53:41,,False,True,True,,22,jho213.12,jho213.12,jho213.12,
Ammonium metavanadate,Inorg,1.03609,0.12120,Diethylenetriamine,Org,1.07009,0.11040,Selenious acid,Inorg,8.03130,1.03583,Water,Solv,341.05468,6.14420,?,?,?,?,27032,,Norquist Oxide Lab,False,False,False,Reaction_27032,amilder,,,2016-05-02 20:53:41,,False,True,True,,23,jho213.13,jho213.13,jho213.13,
Ammonium metavanadate,Inorg,0.97967,0.11460,Diethylenetriamine,Org,1.23777,0.12770,Selenious acid,Inorg,10.25660,1.32284,Water,Solv,333.41660,6.00660,?,?,?,?,27033,,Norquist Oxide Lab,False,False,False,Reaction_27033,amilder,,,2016-05-02 20:53:41,,False,True,True,,24,jho213.14,jho213.14,jho213.14,
Ammonium metavanadate,Inorg,1.00874,0.11800,Triethylenetetramine,Org,1.01547,0.14850,Selenious acid,Inorg,7.98640,1.03004,Water,Solv,364.49070,6.56641,?,?,?,?,27034,,Norquist Oxide Lab,False,False,False,Reaction_27034,amilder,,,2016-05-02 20:53:41,,False,True,True,,25,jho213.15,jho213.15,jho213.15,
Ammonium metavanadate,Inorg,1.11730,0.13070,Triethylenetetramine,Org,1.60355,0.23449,Selenious acid,Inorg,10.20240,1.31585,Water,Solv,333.64419,6.01070,?,?,?,?,27035,,Norquist Oxide Lab,False,False,False,Reaction_27035,amilder,,,2016-05-02 20:53:41,,False,True,True,,26,jho213.16,jho213.16,jho213.16,
TMEDA,Org,1.01456,0.11790,Ammonium metavanadate,Inorg,1.04037,0.12170,Selenious acid,Inorg,9.92870,1.28055,Water,Solv,349.65307,6.29910,?,?,?,?,27036,,Norquist Oxide Lab,False,False,False,Reaction_27036,amilder,,,2016-05-02 20:53:41,,False,True,True,,27,jho213.17,jho213.17,jho213.17,
TMEDA,Org,1.00595,0.11690,Ammonium metavanadate,Inorg,1.01216,0.11840,Selenious acid,Inorg,8.00730,1.03273,Water,Solv,335.39273,6.04220,?,?,?,?,27037,,Norquist Oxide Lab,False,False,False,Reaction_27037,amilder,,,2016-05-02 20:53:41,,False,True,True,,28,jho213.18,jho213.18,jho213.18,
Ammonium metavanadate,Inorg,0.96514,0.11290,"N,N′-dimethylethylenediamine",Org,1.03228,0.09100,Selenious acid,Inorg,8.29340,1.06963,Water,Solv,339.59478,6.11790,?,?,?,?,27038,,Norquist Oxide Lab,False,False,False,Reaction_27038,amilder,,,2016-05-02 20:53:42,,False,True,True,,29,jho213.19,jho213.19,jho213.19,
"N,N′-dimethylethylenediamine",Org,0.96536,0.08510,Ammonium metavanadate,Inorg,1.00104,0.11710,Selenious acid,Inorg,10.51250,1.35584,Water,Solv,336.09770,6.05490,?,?,?,?,27039,,Norquist Oxide Lab,False,False,False,Reaction_27039,amilder,,,2016-05-02 20:53:42,,False,True,True,,30,jho213.20,jho213.20,jho213.20,
Ammonium metavanadate,Inorg,1.00190,0.11720,Triethylenetetramine,Org,1.01137,0.14790,Selenium dioxide,Inorg,9.89654,1.09811,Water,Solv,401.67083,7.23622,?,?,?,?,27040,,Norquist Oxide Lab,False,False,False,Reaction_27040,cfalk,,,2016-05-02 20:53:42,,False,True,True,,31,jho218.1,jho218.1,jho218.1,
Ammonium metavanadate,Inorg,1.03267,0.12080,Triethylenetetramine,Org,1.04282,0.15250,Selenium dioxide,Inorg,12.00454,1.33201,Water,Solv,393.63308,7.09142,?,?,?,?,27041,,Norquist Oxide Lab,False,False,False,Reaction_27041,cfalk,,,2016-05-02 20:53:42,,False,True,True,,32,jho218.2,jho218.2,jho218.2,
Ammonium metavanadate,Inorg,1.00874,0.11800,"N,N′-dimethylethylenediamine",Org,1.06405,0.09380,Selenium dioxide,Inorg,9.55407,1.06011,Water,Solv,390.37469,7.03272,?,?,?,?,27042,,Norquist Oxide Lab,False,False,False,Reaction_27042,cfalk,,,2016-05-02 20:53:42,,False,True,True,,33,jho218.3,jho218.3,jho218.3,
Ammonium metavanadate,Inorg,1.00532,0.11760,"N,N′-dimethylethylenediamine",Org,1.10829,0.09770,Selenium dioxide,Inorg,11.77382,1.30641,Water,Solv,406.32251,7.32002,?,?,?,?,27043,,Norquist Oxide Lab,False,False,False,Reaction_27043,cfalk,,,2016-05-02 20:53:42,,False,True,True,,34,jho218.4,jho218.4,jho218.4,
3-Pyrrolidinamine dihydrochloride,Org,0.99522,0.15830,Ammonium metavanadate,Inorg,1.07627,0.12590,Selenium dioxide,Inorg,9.10705,1.01051,Water,Solv,389.23675,7.01222,?,?,?,?,27044,"js: this read 3-apry, assuming it is an error and corrected it",Norquist Oxide Lab,False,False,False,Reaction_27044,cfalk,,,2016-05-02 20:53:42,,False,True,True,,35,jho218.5,jho218.5,jho218.5,
Ammonium metavanadate,Inorg,0.99164,0.11600,3-Pyrrolidinamine dihydrochloride,Org,0.99585,0.15840,Selenium dioxide,Inorg,12.40830,1.37681,Water,Solv,402.20927,7.24592,?,?,?,?,27045,"js: this read 3-apry, assuming it is an error and corrected it",Norquist Oxide Lab,False,False,False,Reaction_27045,cfalk,,,2016-05-02 20:53:42,,False,True,True,,36,jho218.6,jho218.6,jho218.6,
Ammonium metavanadate,Inorg,0.98566,0.11530,DABCO,Org,1.14285,0.12820,Selenium dioxide,Inorg,12.22985,1.35701,Water,Solv,401.39883,7.23132,?,?,?,?,27046,,Norquist Oxide Lab,False,False,False,Reaction_27046,cfalk,,,2016-05-02 20:53:42,,False,True,True,,37,jho218.7,jho218.7,jho218.7,
Ammonium metavanadate,Inorg,1.02070,0.11940,DABCO,Org,1.11789,0.12540,Selenium dioxide,Inorg,9.06199,1.00551,Water,Solv,402.45351,7.25032,?,?,?,?,27047,,Norquist Oxide Lab,False,False,False,Reaction_27047,cfalk,,,2016-05-02 20:53:42,,False,True,True,,38,jho218.8,jho218.8,jho218.8,
Ammonium metavanadate,Inorg,1.00190,0.11720,"1,4-Diazepane",Org,1.02531,0.10270,Selenium dioxide,Inorg,8.84299,0.98121,Water,Solv,390.60228,7.03682,?,?,?,?,27048,,Norquist Oxide Lab,False,False,False,Reaction_27048,cfalk,,,2016-05-02 20:53:42,,False,True,True,,39,jho218.9,jho218.9,jho218.9,
Ammonium metavanadate,Inorg,1.01301,0.11850,"1,4-Diazepane",Org,1.05226,0.10540,Selenium dioxide,Inorg,11.94416,1.32531,Water,Solv,402.19817,7.24572,?,?,?,?,27049,,Norquist Oxide Lab,False,False,False,Reaction_27049,cfalk,,,2016-05-02 20:53:42,,False,True,True,,40,jho218.10,jho218.10,jho218.10,
Ammonium metavanadate,Inorg,1.00361,0.11740,Piperazine,Org,1.11565,0.09610,Selenium dioxide,Inorg,9.59102,1.06421,Water,Solv,399.17846,7.19132,?,?,?,?,27050,,Norquist Oxide Lab,False,False,False,Reaction_27050,cfalk,,,2016-05-02 20:53:42,,False,True,True,,41,jho218.11,jho218.11,jho218.11,
Ammonium metavanadate,Inorg,1.02156,0.11950,Piperazine,Org,1.23871,0.10670,Selenium dioxide,Inorg,14.16031,1.57121,Water,Solv,410.08049,7.38772,?,?,?,?,27051,,Norquist Oxide Lab,False,False,False,Reaction_27051,cfalk,,,2016-05-02 20:53:42,,False,True,True,,42,jho218.12,jho218.12,jho218.12,
Ammonium metavanadate,Inorg,1.01387,0.11860,TMEDA,Org,1.01800,0.11830,Selenium dioxide,Inorg,4.04928,0.44930,Water,Solv,515.37608,9.28465,?,?,?,?,27052,,Norquist Oxide Lab,False,False,False,Reaction_27052,cfalk,,,2016-05-02 20:53:42,,False,True,True,,43,jho220.1,jho220.1,jho220.1,
Ammonium metavanadate,Inorg,0.97882,0.11450,TMEDA,Org,1.09287,0.12700,Selenium dioxide,Inorg,5.92927,0.65790,Water,Solv,491.78462,8.85965,?,?,?,?,27053,,Norquist Oxide Lab,False,False,False,Reaction_27053,cfalk,,,2016-05-02 20:53:42,,False,True,True,,44,jho220.2,jho220.2,jho220.2,
Ammonium metavanadate,Inorg,0.99164,0.11600,TMEDA,Org,1.06189,0.12340,Selenium dioxide,Inorg,10.83743,1.20251,Water,Solv,520.44963,9.37606,?,?,?,?,27054,,Norquist Oxide Lab,False,False,False,Reaction_27054,cfalk,,,2016-05-02 20:53:42,,False,True,True,,45,jho220.3,jho220.3,jho220.3,
TMEDA,Org,0.97842,0.11370,Ammonium metavanadate,Inorg,1.03438,0.12100,Selenium dioxide,Inorg,11.94867,1.32581,Water,Solv,494.43797,8.90745,?,?,?,?,27055,,Norquist Oxide Lab,False,False,False,Reaction_27055,cfalk,,,2016-05-02 20:53:42,,False,True,True,,46,jho220.4,jho220.4,jho220.4,
Ammonium metavanadate,Inorg,0.99848,0.11680,Diethylenetriamine,Org,1.34246,0.13850,Selenium dioxide,Inorg,6.27715,0.69651,Water,Solv,497.89620,8.96975,?,?,?,?,27056,,Norquist Oxide Lab,False,False,False,Reaction_27056,cfalk,,,2016-05-02 20:53:42,,False,True,True,,47,jho220.5,jho220.5,jho220.5,
Ammonium metavanadate,Inorg,0.99164,0.11600,Diethylenetriamine,Org,1.05264,0.10860,Selenium dioxide,Inorg,4.27549,0.47440,Water,Solv,499.08965,8.99125,?,?,?,?,27057,,Norquist Oxide Lab,False,False,False,Reaction_27057,cfalk,,,2016-05-02 20:53:42,,False,True,True,,48,jho220.6,jho220.6,jho220.6,
Ammonium metavanadate,Inorg,0.96343,0.11270,Diethylenetriamine,Org,1.05555,0.10890,Selenium dioxide,Inorg,9.99748,1.10931,Water,Solv,501.44324,9.03365,?,?,?,?,27058,,Norquist Oxide Lab,False,False,False,Reaction_27058,cfalk,,,2016-05-02 20:53:42,,False,True,True,,49,jho220.7,jho220.7,jho220.7,
Ammonium metavanadate,Inorg,1.00532,0.11760,Diethylenetriamine,Org,1.14569,0.11820,Selenium dioxide,Inorg,12.26951,1.36141,Water,Solv,493.03913,8.88225,?,?,?,?,27059,,Norquist Oxide Lab,False,False,False,Reaction_27059,cfalk,,,2016-05-02 20:53:42,,False,True,True,,50,jho220.8,jho220.8,jho220.8,
Ammonium metavanadate,Inorg,1.00019,0.11700,"1,4-Dimethylpiperazine",Org,1.09290,0.12480,Selenium dioxide,Inorg,3.94203,0.43740,Water,Solv,493.33888,8.88765,?,?,?,?,27060,,Norquist Oxide Lab,False,False,False,Reaction_27060,cfalk,,,2016-05-02 20:53:42,,False,True,True,,51,jho220.9,jho220.9,jho220.9,
"1,4-Dimethylpiperazine",Org,0.98693,0.11270,Ammonium metavanadate,Inorg,1.01045,0.11820,Selenium dioxide,Inorg,6.05364,0.67170,Water,Solv,507.93228,9.15055,?,?,?,?,27061,,Norquist Oxide Lab,False,False,False,Reaction_27061,cfalk,,,2016-05-02 20:53:42,,False,True,True,,52,jho220.10,jho220.10,jho220.10,
Ammonium metavanadate,Inorg,0.98566,0.11530,"1,4-Dimethylpiperazine",Org,1.09114,0.12460,Selenium dioxide,Inorg,9.94160,1.10311,Water,Solv,503.58035,9.07215,?,?,?,?,27062,,Norquist Oxide Lab,False,False,False,Reaction_27062,cfalk,,,2016-05-02 20:53:42,,False,True,True,,53,jho220.11,jho220.11,jho220.11,
Ammonium metavanadate,Inorg,1.00959,0.11810,"1,4-Dimethylpiperazine",Org,1.00970,0.11530,Selenium dioxide,Inorg,11.93785,1.32461,Water,Solv,497.10241,8.95545,?,?,?,?,27063,,Norquist Oxide Lab,False,False,False,Reaction_27063,cfalk,,,2016-05-02 20:53:42,,False,True,True,,54,jho220.12,jho220.12,jho220.12,
Vanadium(V) oxide,Inorg,0.50528,0.09190,2-Methylpiperazine,Org,0.98537,0.09870,Selenium dioxide,Inorg,6.90532,0.76621,Water,Solv,331.84568,5.97830,?,?,?,?,27064,,Norquist Oxide Lab,False,False,False,Reaction_27064,cfalk,,,2016-05-02 20:53:42,,False,True,True,,55,jho95.1,jho95.1,jho95.1,
Vanadium(V) oxide,Inorg,0.50253,0.09140,3-Pyrrolidinamine dihydrochloride,Org,1.04237,0.16580,Selenium dioxide,Inorg,5.87880,0.65230,Water,Solv,345.26783,6.22010,?,?,?,?,27065,,Norquist Oxide Lab,False,False,False,Reaction_27065,cfalk,,,2016-05-02 20:53:42,,False,True,True,,56,jho95.2,jho95.2,jho95.2,
Vanadium(V) oxide,Inorg,0.51353,0.09340,"2,5-Dimethylpiperazine",Org,0.99044,0.11310,Selenium dioxide,Inorg,5.93017,0.65800,Water,Solv,332.64502,5.99270,?,?,?,?,27066,,Norquist Oxide Lab,False,False,False,Reaction_27066,cfalk,,,2016-05-02 20:53:42,,False,True,True,,57,jho95.3,jho95.3,jho95.3,
Vanadium(V) oxide,Inorg,0.50473,0.09180,TMEDA,Org,0.98960,0.11500,Selenium dioxide,Inorg,5.97073,0.66251,Water,Solv,337.18568,6.07450,?,?,?,?,27067,,Norquist Oxide Lab,False,False,False,Reaction_27067,cfalk,,,2016-05-02 20:53:42,,False,True,True,,58,jho95.4,jho95.4,jho95.4,
Vanadium(V) oxide,Inorg,0.51023,0.09280,3-Aminoquinuclidine dihydrochloride,Org,0.99184,0.19750,Selenium dioxide,Inorg,5.98965,0.66460,Water,Solv,332.09548,5.98280,?,?,?,?,27068,,Norquist Oxide Lab,False,False,False,Reaction_27068,cfalk,,,2016-05-02 20:53:42,,False,True,True,,59,jho95.5,jho95.5,jho95.5,
Sodium metavanadate,Inorg,1.18676,0.14470,3-Aminoquinuclidine dihydrochloride,Org,1.19473,0.23790,Selenium dioxide,Inorg,3.62750,0.40250,Water,Solv,523.11407,9.42406,?,?,?,?,27069,,Norquist Oxide Lab,False,False,False,Reaction_27069,cfalk,,,2016-05-02 20:53:42,,False,True,True,,60,jho95.6,jho95.6,jho95.6,
Vanadium(V) oxide,Inorg,0.50638,0.09210,TMEDA,Org,0.97584,0.11340,Selenium dioxide,Inorg,5.94639,0.65980,Water,Solv,340.52734,6.13470,?,?,?,?,27070,,Norquist Oxide Lab,False,False,False,Reaction_27070,cfalk,,,2016-05-02 20:53:42,,False,True,True,,61,jho222.1,jho222.1,jho222.1,
Vanadium(V) oxide,Inorg,0.51023,0.09280,Hexamine,Org,1.03146,0.14460,Selenium dioxide,Inorg,6.33032,0.70240,Water,Solv,333.30003,6.00450,?,?,?,?,27071,,Norquist Oxide Lab,False,False,False,Reaction_27071,cfalk,,,2016-05-02 20:53:42,,False,True,True,,62,jho222.2,jho222.2,jho222.2,
Vanadium(V) oxide,Inorg,0.50253,0.09140,2-Methylpiperazine,Org,1.11816,0.11200,Selenium dioxide,Inorg,6.92604,0.76851,Water,Solv,334.10491,6.01900,?,?,?,?,27072,,Norquist Oxide Lab,False,False,False,Reaction_27072,cfalk,,,2016-05-02 20:53:42,,False,True,True,,63,jho222.3,jho222.3,jho222.3,
Vanadium(V) oxide,Inorg,0.54487,0.09910,3-Pyrrolidinamine dihydrochloride,Org,0.97888,0.15570,Selenium dioxide,Inorg,5.93017,0.65800,Water,Solv,337.89620,6.08730,?,?,?,?,27073,,Norquist Oxide Lab,False,False,False,Reaction_27073,cfalk,,,2016-05-02 20:53:42,,False,True,True,,64,jho222.4,jho222.4,jho222.4,
Vanadium(V) oxide,Inorg,0.54597,0.09930,3-Aminoquinuclidine dihydrochloride,Org,1.00891,0.20090,Selenium dioxide,Inorg,6.66739,0.73981,Water,Solv,420.03886,7.56713,?,?,?,?,27074,,Norquist Oxide Lab,False,False,False,Reaction_27074,cfalk,,,2016-05-02 20:53:42,,False,True,True,,65,jho222.5,jho222.5,jho222.5,
Vanadium(V) oxide,Inorg,0.52837,0.09610,"2,5-Dimethylpiperazine",Org,1.00532,0.11480,Selenium dioxide,Inorg,5.98244,0.66380,Water,Solv,338.91757,6.10570,?,?,?,?,27075,,Norquist Oxide Lab,False,False,False,Reaction_27075,cfalk,,,2016-05-02 20:53:42,,False,True,True,,66,jho222.6,jho222.6,jho222.6,
Sodium metavanadate,Inorg,1.02601,0.12510,"1,4-Dimethylpiperazine",Org,1.09903,0.12550,Selenium dioxide,Inorg,6.31680,0.70090,Water,Solv,334.67111,6.02920,?,?,?,?,27076,,Norquist Oxide Lab,False,False,False,Reaction_27076,cfalk,,,2016-05-02 20:53:42,,False,True,True,,67,jho224.1,jho224.1,jho224.1,
Sodium metavanadate,Inorg,1.02683,0.12520,"1,4-Dimethylpiperazine",Org,1.03072,0.11770,Selenium dioxide,Inorg,5.23712,0.58110,Water,Solv,343.12517,6.18150,?,?,?,?,27077,,Norquist Oxide Lab,False,False,False,Reaction_27077,cfalk,,,2016-05-02 20:53:42,,False,True,True,,68,jho224.2,jho224.2,jho224.2,
"1,4-Dimethylpiperazine",Org,0.98343,0.11230,Sodium metavanadate,Inorg,0.98500,0.12010,Selenium dioxide,Inorg,5.85627,0.64980,Water,Solv,337.23009,6.07530,?,?,?,?,27078,,Norquist Oxide Lab,False,False,False,Reaction_27078,cfalk,,,2016-05-02 20:53:42,,False,True,True,,69,jho224.3,jho224.3,jho224.3,
"1,4-Dimethylpiperazine",Org,0.99131,0.11320,Sodium metavanadate,Inorg,1.00140,0.12210,Selenium dioxide,Inorg,6.15548,0.68300,Water,Solv,498.26811,8.97645,?,?,?,?,27079,,Norquist Oxide Lab,False,False,False,Reaction_27079,cfalk,,,2016-05-02 20:53:42,,False,True,True,,70,jho224.4,jho224.4,jho224.4,
"1,4-Dimethylpiperazine",Org,0.93001,0.10620,Sodium metavanadate,Inorg,1.04077,0.12690,Selenium dioxide,Inorg,5.72649,0.63540,Water,Solv,514.78213,9.27395,?,?,?,?,27080,,Norquist Oxide Lab,False,False,False,Reaction_27080,cfalk,,,2016-05-02 20:53:42,,False,True,True,,71,jho224.5,jho224.5,jho224.5,
Sodium metavanadate,Inorg,1.01945,0.12430,"1,4-Dimethylpiperazine",Org,1.10340,0.12600,Selenium dioxide,Inorg,5.70576,0.63310,Water,Solv,501.90952,9.04205,?,?,?,?,27081,,Norquist Oxide Lab,False,False,False,Reaction_27081,cfalk,,,2016-05-02 20:53:42,,False,True,True,,72,jho224.6,jho224.6,jho224.6,
Sodium oxalate,Ox,0.79927,0.10710,Ammonium metavanadate,Inorg,1.01387,0.11860,methylpiperazine,Org,1.04627,0.10480,Selenium dioxide,Inorg,4.10696,0.45570,Water,Solv,503.72467,9.07475,27082,,Norquist Oxide Lab,False,False,False,Reaction_27082,cfalk,,,2016-05-02 20:53:42,,False,True,True,,73,jho225.1,jho225.1,jho225.1,
Sodium oxalate,Ox,0.91121,0.12210,Ammonium metavanadate,Inorg,1.01558,0.11880,methylpiperazine,Org,1.16208,0.11640,Selenium dioxide,Inorg,4.02495,0.44660,Water,Solv,507.98224,9.15145,27083,,Norquist Oxide Lab,False,False,False,Reaction_27083,cfalk,,,2016-05-02 20:53:42,,False,True,True,,74,jho225.2,jho225.2,jho225.2,
Sodium oxalate,Ox,0.77688,0.10410,Ammonium metavanadate,Inorg,1.08909,0.12740,methylpiperazine,Org,1.09320,0.10950,Selenium dioxide,Inorg,4.17816,0.46360,Water,Solv,510.06939,9.18905,27084,,Norquist Oxide Lab,False,False,False,Reaction_27084,cfalk,,,2016-05-02 20:53:42,,False,True,True,,75,jho225.3,jho225.3,jho225.3,
